Country,Water Quality
Afghanistan,23
Albania,31
Algeria,46
American Samoa,0
Andorra,69
Angola,18
Anguilla,-
Antigua and Barbuda,0
Argentina,45
Armenia,66
Aruba,67
Australia,71
Austria,88
Azerbaijan,30
Bahamas,41
Bahrain,49
Bangladesh,26
Barbados,64
Belarus,59
Belgium,59
Belize,38
Benin,25
Bermuda,85
Bhutan,46
Bolivia,35
Bosnia and Herzegovina,53
Botswana,60
Brazil,39
British Virgin Islands,0
Brunei,53
Bulgaria,59
Burkina Faso,-
Burundi,0
Cabo Verde,-
Cambodia,25
Cameroon,19
Canada,67
Caribbean Netherlands,-
Cayman Islands,60
Central African Republic,0
Chad,67
Channel Islands,-
Chile,59
China,32
Hong Kong,47
Macau,34
Colombia,56
Comoros,-
Congo,8
Cook Islands,75
Costa Rica,54
Cï¿½ï¿½te dï¿½ï¿½ï¿
Croatia,75
Cuba,38
Curaï¿½ï¿½a
Cyprus,57
Czech Republic,70
North Korea,33
Democratic Republic of the Congo,-
Denmark,83
Djibouti,55
Dominica,-
Dominican Republic,29
Ecuador,48
Egypt,28
El Salvador,30
Equatorial Guinea,57
Eritrea,75
Estonia,81
Eswatini,53
Ethiopia,28
Falkland Islands,100
Faroe Islands,92
Fiji,38
Finland,86
France,61
French Guiana,50
French Polynesia,56
Gabon,20
Gambia,25
Georgia,52
Germany,78
Ghana,13
Gibraltar,54
Greece,63
Greenland,12
Grenada,60
Guadeloupe,-
Guam,53
Guatemala,35
Guinea,6
Guinea-Bissau,-
Guyana,25
Haiti,35
Holy See,0
Honduras,28
Hungary,70
Iceland,91
India,28
Indonesia,39
Iran,49
Iraq,31
Ireland,64
Isle of Man,85
Israel,62
Italy,58
Jamaica,37
Japan,62
Jordan,35
Kazakhstan,45
Kenya,19
Kiribati,-
Kuwait,46
Kyrgyzstan,53
Laos,27
Latvia,70
Lebanon,21
Lesotho,50
Liberia,11
Libya,45
Liechtenstein,100
Lithuania,74
Luxembourg,82
Madagascar,20
Malawi,25
Malaysia,37
Maldives,19
Mali,17
Malta,42
Marshall Islands,25
Martinique,50
Mauritania,63
Mauritius,44
Mayotte,-
Mexico,39
Micronesia,0
Monaco,46
Mongolia,28
Montenegro,62
Montserrat,-
Morocco,45
Mozambique,33
Myanmar,28
Namibia,45
Nauru,-
Nepal,24
Netherlands,80
New Caledonia,45
New Zealand,65
Nicaragua,25
Niger,0
Nigeria,21
Niue,100
North Macedonia,49
Northern Mariana Islands,25
Norway,85
Oman,62
Pakistan,28
Palau,100
Panama,34
Papua New Guinea,28
Paraguay,40
Peru,20
Philippines,26
Poland,65
Portugal,70
Puerto Rico,44
Qatar,53
South Korea,61
Moldova,37
Rï¿½ï¿½unio
Romania,54
Russia,47
Rwanda,47
Saint Helena,75
Saint Kitts and Nevis,-
Saint Lucia,67
Saint Pierre and Miquelon,100
Saint Vincent and the Grenadines,-
Samoa,56
San Marino,50
Sao Tome and Principe,-
Saudi Arabia,52
Senegal,20
Serbia,49
Seychelles,52
Sierra Leone,0
Singapore,75
Sint Maarten,13
Slovakia,70
Slovenia,84
Solomon Islands,15
Somalia,41
South Africa,41
South Sudan,25
Spain,65
Sri Lanka,41
Sudan,31
Suriname,45
Sweden,85
Switzerland,84
Syria,48
Tajikistan,39
Thailand,30
Timor-Leste,25
Togo,19
Tokelau,-
Tonga,-
Trinidad and Tobago,33
Tunisia,46
Turkey,47
Turkmenistan,68
Turks and Caicos Islands,50
Tuvalu,-
Uganda,21
Ukraine,39
United Arab Emirates,60
United Kingdom,70
United Republic of Tanzania,30
United States Virgin Islands,92
United States of America,57
Uruguay,54
Uzbekistan,57
Vanuatu,30
Venezuela,28
Vietnam,24
Wallis and Futuna Islands,-
West Bank and Gaza Strip,46
Western Sahara,-
Yemen,30
Zambia,6
Zimbabwe,19
Taiwan,41
