State;City;Water Quality;states_cities
South Dakota;Aberdeen;85;South Dakota_Aberdeen
Texas;Abilene;;Texas_Abilene
Massachusetts;Acton;;Massachusetts_Acton
Ohio;Akron;15;Ohio_Akron
California;Alameda;;California_Alameda
New Mexico;Alamogordo;;New Mexico_Alamogordo
New York;Albany;73;New York_Albany
Oregon;Albany;;Oregon_Albany
New Mexico;Albuquerque;59;New Mexico_Albuquerque
Louisiana;Alexandria;50;Louisiana_Alexandria
Virginia;Alexandria;57;Virginia_Alexandria
California;Aliso Viejo;;California_Aliso Viejo
Texas;Allen;;Texas_Allen
Pennsylvania;Allentown;25;Pennsylvania_Allentown
Georgia;Alpharetta;;Georgia_Alpharetta
Illinois;Alton;;Illinois_Alton
Texas;Amarillo;50;Texas_Amarillo
Iowa;Ames;50;Iowa_Ames
Massachusetts;Amherst;;Massachusetts_Amherst
California;Anaheim;66;California_Anaheim
Alaska;Anchorage;81;Alaska_Anchorage
California;Anderson;;California_Anderson
South Carolina;Anderson;;South Carolina_Anderson
Massachusetts;Andover;;Massachusetts_Andover
Iowa;Ankeny;;Iowa_Ankeny
Michigan;Ann Arbor;52;Michigan_Ann Arbor
Maryland;Annapolis;53;Maryland_Annapolis
California;Antioch;;California_Antioch
Florida;Apopka;;Florida_Apopka
California;Apple Valley;;California_Apple Valley
Wisconsin;Appleton;75;Wisconsin_Appleton
Texas;Arlington;85;Texas_Arlington
Virginia;Arlington;81;Virginia_Arlington
Virginia;Ashburn;75;Virginia_Ashburn
North Carolina;Asheville;56;North Carolina_Asheville
New York;Astoria;38;New York_Astoria
Oregon;Astoria;;Oregon_Astoria
California;Atascadero;0;California_Atascadero
Georgia;Athens;75;Georgia_Athens
Ohio;Athens;100;Ohio_Athens
Georgia;Atlanta;52;Georgia_Atlanta
Alabama;Auburn;;Alabama_Auburn
Georgia;Augusta;67;Georgia_Augusta
Maine;Augusta;;Maine_Augusta
Colorado;Aurora;67;Colorado_Aurora
Illinois;Aurora;69;Illinois_Aurora
Texas;Austin;57;Texas_Austin
Arizona;Avondale;;Arizona_Avondale
California;Bakersfield;33;California_Bakersfield
Maryland;Baltimore;39;Maryland_Baltimore
Maine;Bangor;;Maine_Bangor
Louisiana;Baton Rouge;64;Louisiana_Baton Rouge
Michigan;Battle Creek;;Michigan_Battle Creek
Texas;Baytown;;Texas_Baytown
South Carolina;Beaufort;;South Carolina_Beaufort
Texas;Beaumont;;Texas_Beaumont
Oregon;Beaverton;93;Oregon_Beaverton
West Virginia;Beckley;;West Virginia_Beckley
Illinois;Belleville;80;Illinois_Belleville
