Column1;name;Categories;Permalink;waterQuality;Latitude;Longitude
0;Aachen;Germany;https://www.canyoudrinktapwaterin.com/is-aachen-tap-water-safe-to-drink/;84;50.770833;6.105278
1;Aalborg;Denmark;https://www.canyoudrinktapwaterin.com/is-aalborg-tap-water-safe-to-drink/;92;57.035498;9.941163
2;Aalen;Germany;https://www.canyoudrinktapwaterin.com/is-aalen-tap-water-safe-to-drink/;50;48.833333;10.1
3;Aarau;Switzerland;https://www.canyoudrinktapwaterin.com/is-aarau-tap-water-safe-to-drink/;0;47.389616;8.052354
4;Abashiri;Japan;https://www.canyoudrinktapwaterin.com/is-abashiri-tap-water-safe-to-drink/;0;44.019722;144.258611
5;Abbeyleix;Ireland;https://www.canyoudrinktapwaterin.com/is-abbeyleix-tap-water-safe-to-drink/;0;52.8991667;-7.3575
6;Abbotsford;Canada;https://www.canyoudrinktapwaterin.com/is-abbotsford-tap-water-safe-to-drink/;65;49.05;-122.3
7;Abbotsford;Canada;https://www.canyoudrinktapwaterin.com/is-abbotsford-tap-water-safe-to-drink/;65;45.43333300000001;-72.883333
8;Abbottabad;Pakistan;https://www.canyoudrinktapwaterin.com/is-abbottabad-tap-water-safe-to-drink/;15;34.146852;73.214488
9;Abha;Saudi Arabia;https://www.canyoudrinktapwaterin.com/is-abha-tap-water-safe-to-drink/;81;18.216389000000003;42.505278
10;Abisko;Sweden;https://www.canyoudrinktapwaterin.com/is-abisko-tap-water-safe-to-drink/;0;68.333333;18.85
11;Abuja;Nigeria;https://www.canyoudrinktapwaterin.com/is-abuja-tap-water-safe-to-drink/;29;9.083333;7.533333
12;Abuja;Nigeria;https://www.canyoudrinktapwaterin.com/is-abuja-tap-water-safe-to-drink/;29;9.180515;7.179327000000002
13;Acapulco;Mexico;https://www.canyoudrinktapwaterin.com/is-acapulco-tap-water-safe-to-drink/;8;32.074721999999994;-115.219444
14;Acapulco;Mexico;https://www.canyoudrinktapwaterin.com/is-acapulco-tap-water-safe-to-drink/;8;16.85;-99.916667
15;Acapulco;Mexico;https://www.canyoudrinktapwaterin.com/is-acapulco-tap-water-safe-to-drink/;8;21.933333;-103.533333
16;Acapulco;Mexico;https://www.canyoudrinktapwaterin.com/is-acapulco-tap-water-safe-to-drink/;8;18.866667;-98.433333
17;Acapulco;Mexico;https://www.canyoudrinktapwaterin.com/is-acapulco-tap-water-safe-to-drink/;8;24.953056;-107.621944
18;Accra;Ghana;https://www.canyoudrinktapwaterin.com/accra-tap-water/;8;5.55;-0.2166667
19;Achao;Chile;https://www.canyoudrinktapwaterin.com/is-achao-tap-water-safe-to-drink/;0;-42.463889;-73.520833
20;Achouffe;Belgium;https://www.canyoudrinktapwaterin.com/is-achouffe-tap-water-safe-to-drink/;0;50.15;5.75
21;Acireale;Italy;https://www.canyoudrinktapwaterin.com/is-acireale-tap-water-safe-to-drink/;0;37.616667;15.166667000000002
22;Adamas;Greece;https://www.canyoudrinktapwaterin.com/is-adamas-tap-water-safe-to-drink/;0;38.5;22.9833333
23;Adamas;Greece;https://www.canyoudrinktapwaterin.com/is-adamas-tap-water-safe-to-drink/;0;36.7333333;24.4333333
24;Adana;Turkey;https://www.canyoudrinktapwaterin.com/is-adana-tap-water-safe-to-drink/;80;38.633333;28.883333
25;Adana;Turkey;https://www.canyoudrinktapwaterin.com/is-adana-tap-water-safe-to-drink/;80;37.001667;35.32888900000001
26;Adapazari;Turkey;https://www.canyoudrinktapwaterin.com/is-adapazari-tap-water-safe-to-drink/;0;40.780556;30.403333
27;Addanki;India;https://www.canyoudrinktapwaterin.com/is-addanki-tap-water-safe-to-drink/;0;15.816667;79.983333
28;Adelaide;Australia;https://www.canyoudrinktapwaterin.com/is-adelaide-tap-water-safe-to-drink/;74;-34.928661;138.598633
29;Aden;Yemen;https://www.canyoudrinktapwaterin.com/is-aden-tap-water-safe-to-drink/;0;12.7794444;45.03666670000001
30;Adigrat;Ethiopia;https://www.canyoudrinktapwaterin.com/is-adigrat-tap-water-safe-to-drink/;0;14.276944;39.460833
31;Adilcevaz;Turkey;https://www.canyoudrinktapwaterin.com/is-adilcevaz-tap-water-safe-to-drink/;0;38.803893;42.734218
32;Admont;Austria;https://www.canyoudrinktapwaterin.com/is-admont-tap-water-safe-to-drink/;0;47.566667;14.45
33;Agadir;Morocco;https://www.canyoudrinktapwaterin.com/is-agadir-tap-water-safe-to-drink/;78;30.956290000000006;-8.708057
34;Agadir;Morocco;https://www.canyoudrinktapwaterin.com/is-agadir-tap-water-safe-to-drink/;78;30.420664;-9.593161
35;Agartala;India;https://www.canyoudrinktapwaterin.com/is-agartala-tap-water-safe-to-drink/;42;23.836389;91.275
36;Agats;Indonesia;https://www.canyoudrinktapwaterin.com/is-agats-tap-water-safe-to-drink/;0;-5.55;138.133333
37;Agde;France;https://www.canyoudrinktapwaterin.com/is-agde-tap-water-safe-to-drink/;0;43.310991;3.47534
38;Aglona;Latvia;https://www.canyoudrinktapwaterin.com/is-aglona-tap-water-safe-to-drink/;0;56.1333333;27.0166667
39;Agra;India;https://www.canyoudrinktapwaterin.com/is-agra-tap-water-safe-to-drink/;30;23.933333;77.55
40;Agra;India;https://www.canyoudrinktapwaterin.com/is-agra-tap-water-safe-to-drink/;30;27.183333;78.016667
41;Agrigento;Italy;https://www.canyoudrinktapwaterin.com/is-agrigento-tap-water-safe-to-drink/;0;37.316667;13.566667
42;Agrigento;Italy;https://www.canyoudrinktapwaterin.com/is-agrigento-tap-water-safe-to-drink-2/;0;37.316667;13.566667
43;Agrinio;Greece;https://www.canyoudrinktapwaterin.com/is-agrinio-tap-water-safe-to-drink/;0;38.6213889;21.4077778
44;Agropoli;Italy;https://www.canyoudrinktapwaterin.com/is-agropoli-tap-water-safe-to-drink/;0;40.35;14.983332999999998
45;Aguadulce;Panama;https://www.canyoudrinktapwaterin.com/is-aguadulce-tap-water-safe-to-drink/;0;9.2833333;-82.4666667
46;Aguadulce;Panama;https://www.canyoudrinktapwaterin.com/is-aguadulce-tap-water-safe-to-drink/;0;8.25;-80.55
47;Aguascalientes;Mexico;https://www.canyoudrinktapwaterin.com/is-aguascalientes-tap-water-safe-to-drink/;48;21.883333;-102.3
48;Aguascalientes;Mexico;https://www.canyoudrinktapwaterin.com/is-aguascalientes-tap-water-safe-to-drink/;48;32.279722;-115.112222
49;Aguilas;Spain;https://www.canyoudrinktapwaterin.com/is-aguilas-tap-water-safe-to-drink/;0;37.405983;-1.5853
50;Aguimes;Spain;https://www.canyoudrinktapwaterin.com/is-aguimes-tap-water-safe-to-drink/;0;27.905052;-15.445395
51;Agulo;Spain;https://www.canyoudrinktapwaterin.com/is-agulo-tap-water-safe-to-drink/;0;28.187782;-17.196783
52;Ahipara;New Zealand;https://www.canyoudrinktapwaterin.com/is-ahipara-tap-water-safe-to-drink/;0;-35.166667;173.166667
53;Ahmedabad;India;https://www.canyoudrinktapwaterin.com/is-ahmedabad-tap-water-safe-to-drink/;34;23.033333;72.616667
54;Ahuachapan;El Salvador;https://www.canyoudrinktapwaterin.com/is-ahuachapan-tap-water-safe-to-drink/;0;13.9213889;-89.845
55;Ahus;Sweden;https://www.canyoudrinktapwaterin.com/is-ahus-tap-water-safe-to-drink/;0;55.916667;14.283333
56;Aikawa;Japan;https://www.canyoudrinktapwaterin.com/is-aikawa-tap-water-safe-to-drink/;0;36.083333;136.033333
57;Aikawa;Japan;https://www.canyoudrinktapwaterin.com/is-aikawa-tap-water-safe-to-drink/;0;38.966667;141.216667
58;Aikawa;Japan;https://www.canyoudrinktapwaterin.com/is-aikawa-tap-water-safe-to-drink/;0;38.6;141.5
59;Aikawa;Japan;https://www.canyoudrinktapwaterin.com/is-aikawa-tap-water-safe-to-drink/;0;38.033333;138.25
60;Airdrie;Canada;https://www.canyoudrinktapwaterin.com/is-airdrie-tap-water-safe-to-drink/;0;51.266667;-114.016667
61;Ajaccio;France;https://www.canyoudrinktapwaterin.com/is-ajaccio-tap-water-safe-to-drink/;63;41.927226;8.734619
62;Ajijic;Mexico;https://www.canyoudrinktapwaterin.com/is-ajijic-tap-water-safe-to-drink/;43;20.3;-103.283333
63;Ajmer;India;https://www.canyoudrinktapwaterin.com/is-ajmer-tap-water-safe-to-drink/;54;26.45;74.633333
64;Akirkeby;Denmark;https://www.canyoudrinktapwaterin.com/is-akirkeby-tap-water-safe-to-drink/;0;55.068666;14.925412
65;Akola;India;https://www.canyoudrinktapwaterin.com/is-akola-tap-water-safe-to-drink/;38;20.733333;77.0
66;Akola;India;https://www.canyoudrinktapwaterin.com/is-akola-tap-water-safe-to-drink/;38;24.766667;74.2
67;Aksaray;Turkey;https://www.canyoudrinktapwaterin.com/is-aksaray-tap-water-safe-to-drink/;50;38.435029;38.140746
68;Aksaray;Turkey;https://www.canyoudrinktapwaterin.com/is-aksaray-tap-water-safe-to-drink/;50;37.703488;37.439001
69;Aksaray;Turkey;https://www.canyoudrinktapwaterin.com/is-aksaray-tap-water-safe-to-drink/;50;38.37255;34.02537
70;Aksum;Ethiopia;https://www.canyoudrinktapwaterin.com/is-aksum-tap-water-safe-to-drink/;0;14.124482;38.724442
71;Aktau;Kazakhstan;https://www.canyoudrinktapwaterin.com/is-aktau-tap-water-safe-to-drink/;8;48.9;52.916667
72;Aktau;Kazakhstan;https://www.canyoudrinktapwaterin.com/is-aktau-tap-water-safe-to-drink/;8;50.9;53.483333
73;Aktau;Kazakhstan;https://www.canyoudrinktapwaterin.com/is-aktau-tap-water-safe-to-drink/;8;43.65;51.2
74;Aktau;Kazakhstan;https://www.canyoudrinktapwaterin.com/is-aktau-tap-water-safe-to-drink/;8;50.236667;73.06277800000002
75;Aktobe;Kazakhstan;https://www.canyoudrinktapwaterin.com/is-aktobe-tap-water-safe-to-drink/;0;43.983333;78.8
